"filename", "language", "XML", "Markdown", "JSON", "C#", "Properties", "comment", "blank", "total"
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Test\obj\test.csproj.nuget.g.props", "XML", 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Test\obj\test.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Test\test.csproj", "XML", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\WebApi\Controllers\CoursesController.cs", "C#", 0, 0, 0, 93, 0, 0, 31, 124
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\WebApi\Controllers\HorarioController.cs", "C#", 0, 0, 0, 80, 0, 0, 21, 101
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\WebApi\Controllers\MateriaController.cs", "C#", 0, 0, 0, 62, 0, 0, 27, 89
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\WebApi\Controllers\UbicationsController.cs", "C#", 0, 0, 0, 88, 0, 0, 19, 107
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\WebApi\Controllers\UserController.cs", "C#", 0, 0, 0, 79, 0, 1, 35, 115
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\WebApi\Program.cs", "C#", 0, 0, 0, 26, 0, 4, 16, 46
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\WebApi\Properties\launchSettings.json", "JSON", 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\WebApi\WebApi.csproj", "XML", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\WebApi\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\WebApi\appsettings.json", "JSON", 0, 0, 9, 0, 0, 0, 1, 10
